"","id","name","host_id","host_name","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","group"
"24",89575,"Private bedroom close to downtown",93825,"Yohan & Sarah","Briar Hill-Belgravia",43.69662,-79.45325,3,62,1,88,114,0.88,2,0,2
"25",96336,"John & Bren's Queen West 3 bedroom townhouse",511506,"John","Niagara",43.64458,-79.41022,1,219,3,122,48,1.59,1,228,2
"26",104096,"Hip and modern family-friendly home",349172,"Avery","South Riverdale",43.66527,-79.32934,1,175,5,18,196,0.17,1,185,2
"27",104722,"Annex apartment - with great deck!",455397,"Carly","Annex",43.67175,-79.40398,1,160,2,6,495,0.11,1,0,1
"28",112842,"Gorgeous Condo near High Park!!",575127,"Micheline","High Park North",43.65623,-79.46667,1,64,180,12,1077,0.12,1,365,1
"29",113175,"Best luxury location in downtown Toronto!",576192,"Faria","Waterfront Communities-The Island",43.64123,-79.39339,1,105,28,35,28,0.33,1,232,2
"30",119441,"STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING",174063,"Denis","South Parkdale",43.63559,-79.44048,1,115,28,78,133,0.74,5,257,2
"31",122492,"Sunny & Stylish Aprtmnt w easy access to dwntwn",613837,"Brett","Danforth East York",43.68872,-79.3299,1,89,5,107,169,1.29,1,0,2
"32",127380,"pleasant apt, centrally located",630920,"Peggy","Yonge-Eglinton",43.7037,-79.4082,3,60,1,143,55,1.39,1,363,4
"33",131401,"WATERFRONT LUXURY SUITE - DOWNTOWN",604233,"WaterfrontExecSuites","Niagara",43.63743,-79.40104,1,70,175,6,15,0.11,1,178,2
"34",137099,"Beautiful 3 Bedroom Home in Little Italy!",149566,"Vinita + Joe","Palmerston-Little Italy",43.65781,-79.42065,1,350,5,10,917,0.1,2,288,1
"35",138613,"Warm Family Home Downtown Toronto",676621,"Jodi","Little Portugal",43.64776,-79.42709,1,180,3,5,1226,0.05,1,0,1
"36",146601,"Modern 1BR Downtown - Blue Jays Way",436139,"Brian","Waterfront Communities-The Island",43.64551,-79.39274,1,121,6,7,1693,0.07,1,42,1
"37",148945,"Downtown Toronto Near Lake Ontario",718884,"John","Waterfront Communities-The Island",43.64835,-79.36302,3,86,3,27,48,0.26,1,365,2
"38",149420,"Bloor West Village 1 Bedroom ",666759,"Jeannie","High Park-Swansea",43.64618,-79.48833,1,80,4,34,44,0.37,1,124,2
"39",150281,"2 Bedroom UofT, OCAD, Queen West, Exceptional Loft",724179,"Paige","Kensington-Chinatown",43.64864,-79.40415,3,152,29,19,1035,0.34,1,320,1
"40",153000,"1,100SqFt. 2B+Den Spacious Green Condo",735795,"Raj","Waterfront Communities-The Island",43.64366,-79.39155,1,199,3,54,16,0.52,1,58,2
"41",179217,"Experience Downsview Park",857989,"Charlene","Downsview-Roding-CFB",43.7407,-79.48818,3,80,2,16,194,0.24,1,363,4
"42",182573,"Sunlit Separate Entrance Apartment",591649,"Melissa","Humewood-Cedarvale",43.68683,-79.42274,1,80,5,23,157,0.24,2,202,2
"43",183522,"Beaches House",880070,"John","The Beaches",43.67254,-79.30023,1,180,120,9,2764,0.09,1,110,1
"44",184784,"2 bd Apt at Yonge & Bloor Yorkville",656777,"Pere","Church-Yonge Corridor",43.66932,-79.38525,1,199,90,61,50,0.59,1,269,2
"45",190670,"Designer's Home: Huge, sunny 2 bdr Roncesvalles",920827,"Clara","High Park-Swansea",43.64558,-79.44938,1,155,10,21,9,0.25,2,159,2
"46",192860,"Modern, Clean & Quiet 2bd @ High Park",533496,"Paul","Junction Area",43.66597,-79.47388,1,115,3,106,96,1.04,2,231,2
"47",196584,"1 Bedroom Apt on Bloor-Danforth subway line!",957466,"Karen","Oakridge",43.69447,-79.28794,1,80,7,16,15,0.38,1,258,4
"48",206529,"Simplicity-Quiet Room in a House in the Kingsway",1015926,"Grant","Stonegate-Queensway",43.63978,-79.50473,3,58,1,27,107,0.29,2,307,2
"49",207206,"Beautiful Newly Renovated 2BDM Home",1019538,"Stefan","Little Portugal",43.64589,-79.43464,1,251,4,17,1652,0.17,2,365,1
"50",209226,"Boutique living - King West Central",1028504,"Cindy","Niagara",43.63598,-79.41468,1,144,28,36,61,0.39,1,218,2
"51",224740,"Riverdale 2 Bedroom Pied-de-Terre",1169979,"Deborah","North Riverdale",43.67523,-79.34627,1,225,2,18,133,0.33,2,0,2
"52",224775,"Location, Location downtown Toronto",1170217,"Frank","Church-Yonge Corridor",43.66168,-79.37937,3,85,7,26,119,0.46,2,349,2
"53",228568,"BEST VIEW in the City! Luxury condo",934821,"Rob","North St.James Town",43.66771,-79.37679,1,400,3,55,522,0.56,2,0,1
"54",229913,"Upscale 2bed Downtown Toronto-lake",1200620,"Sergei","Niagara",43.63479,-79.39957,1,325,60,10,903,0.13,1,364,1
"55",230775,"Elegant Private Room Condo-Downtown",706457,"Usman","Bay Street Corridor",43.66993,-79.38742,3,121,5,39,167,0.38,1,365,2
"56",232794,"Extra Large  1900 sq. Ft 1 Bed.Lux. Yorkville",1218097,"Veronica","Annex",43.67108,-79.39038,1,164,4,4,1380,0.05,1,199,1
"57",234500,"URBAN OASIS quiet, bright, open concept w/ parking",1203746,"Lisa","South Riverdale",43.65668,-79.33933,1,140,1,101,27,5.14,1,35,3
"58",260645,"Heritage  private bdrm & bath, 4",1367540,"Linda","Moss Park",43.65574,-79.37216,3,70,1,147,153,1.47,7,240,3
"59",261235,"Heritage private bdrm & bath, 7",1367540,"Linda","Moss Park",43.65574,-79.37216,3,65,1,72,111,0.72,7,250,2
"60",264319,"  private bdrm & bath  number 2",1367540,"Linda","Moss Park",43.65574,-79.37216,3,65,1,109,64,1.1,7,229,2
"61",266300,"FURNISHED ONE-BDRM TORONTO KING W",1396237,"Jonathan","Niagara",43.64047,-79.41491,1,105,30,5,249,0.15,1,364,2
"62",268403,"Two bedroom apt. in lovely house",1311843,"Peter","Roncesvalles",43.64463,-79.44353,1,141,7,7,526,0.13,1,365,2
"63",269017,"1 private bdrm & bath",1367540,"Linda","Moss Park",43.65653,-79.37127,3,54,1,116,34,1.16,7,252,2
"64",273500,"Beautiful Executive Victorian House",1430894,"Ronen","Palmerston-Little Italy",43.66023,-79.40935,1,252,2,114,26,3.95,10,74,3
"65",280249,"private bdrm & bath room 3",1367540,"Linda","Moss Park",43.65745,-79.36995,3,76,2,143,113,1.44,7,233,3
"66",283628,"Baldwin Village Downtown Apartment",1477264,"Gloria","Kensington-Chinatown",43.65481,-79.39697,3,135,3,16,878,0.16,1,0,1
"67",288341,"Beautiful Victorian Home",1368256,"Robert","North St.James Town",43.67093,-79.37298,1,125,14,21,121,0.27,1,328,2
"68",289239,"Big City Views from beautiful Queen West condo!",1270530,"Stephanie","Niagara",43.64207,-79.40984,1,199,10,93,18,0.96,1,92,2
"69",304065,"Stonehouse On Sterling-South Room.",812337,"Maria","Dufferin Grove",43.657,-79.44806,3,73,2,18,45,0.2,3,361,2
"70",307726,"Boutique Chic at Maple Leaf Square",1108156,"Karen","Waterfront Communities-The Island",43.64222,-79.37987,1,110,28,58,105,0.59,2,197,2
"71",309402,"Central, beside subway, indoor pool",1591140,"Christina","Mount Pleasant East",43.70926,-79.37707,4,50,1,91,142,0.94,2,99,4
"72",312035,"Stonehouse On Sterling-Queen Room",812337,"Maria","Dufferin Grove",43.65674,-79.44786,3,90,2,24,138,0.25,3,365,2
"73",314459,"Cosy room by Toronto's Danforth Ave",1615944,"Julia","Blake-Jones",43.67728,-79.33585,3,52,3,36,24,0.39,1,68,4
"74",314934,"Stonehouse On Sterling-Garden Room",812337,"Maria","Dufferin Grove",43.657,-79.44784,3,85,2,23,481,0.25,3,354,2
"75",339418,"Cozy Room in Midtown Near Subway",1027776,"Willy & Madalina","Mount Pleasant West",43.6983,-79.39305,4,40,1,84,196,0.87,2,135,4
"76",341933,"Bright Spacious 2Br Leslieville Home, Local Living",1390920,"Sylvia","South Riverdale",43.66712,-79.33678,1,179,3,137,115,1.41,1,168,3
"77",358663,"Private Suite 5 min. from Downtown",1815434,"Paul","Palmerston-Little Italy",43.66195,-79.41141,1,95,7,25,107,0.27,2,135,2
"78",361557,"Downtown/Stylish 2 Bdr.   Apt /Garden +Parking",174063,"Denis","South Parkdale",43.6354,-79.43854,1,115,30,59,82,0.64,5,263,2
"79",363057,"Charming Century House in Beaches",1816495,"Katharine","The Beaches",43.67113,-79.29839,1,229,1,2,203,0.06,1,47,2
"80",366973,"Spacious Modern Cozy King W Toronto",1015670,"Grace","Waterfront Communities-The Island",43.64341,-79.40046,1,190,3,9,886,0.13,1,363,1
"81",379133,"Elegant 3 Bedroom+  Rosedale Home ",1903033,"Christie","Rosedale-Moore Park",43.67423,-79.37028,1,650,7,1,2388,0.01,2,0,1
"82",380910,"Fab 1 Bdrm Apt Close to Everything ",1910540,"Les","Danforth",43.6798,-79.34218,1,135,2,32,174,0.47,1,288,2
"83",382186,"Downtown Maple Leaf Square Condo",1812059,"Petros","Waterfront Communities-The Island",43.64503,-79.38335,1,190,1,14,45,0.15,1,89,2
"84",382423,"Private Apt. in Kensington Market!",1916855,"Manja","Kensington-Chinatown",43.65432,-79.39847,1,111,1,217,8,2.27,2,195,3
"85",388696,"Downtown Private Room-5minto Subway",1944849,"Suzan","Dovercourt-Wallace Emerson-Junction",43.66633,-79.42851,1,60,3,18,985,0.2,1,288,1
"86",390395,"SUNNY DBL CORKTOWN BREAKFAST, 2 BIKES INCL.",1952926,"Sean","Regent Park",43.65765,-79.36281,3,65,1,800,4,8.33,1,222,3
"87",394627,"Furnished Downtown Studio Suite",304551,"Kintoo","Palmerston-Little Italy",43.66137,-79.41074,1,80,60,2,1324,0.03,6,289,1
"88",396504,"Modern 3 bed home w/garden in funky Queen W",1981383,"Clare","Roncesvalles",43.64283,-79.44686,1,350,3,28,140,0.36,1,50,2
"89",401823,"Furnished Downtown Studio Suite",304551,"Kintoo","Palmerston-Little Italy",43.66238,-79.41034,1,90,30,6,1186,0.06,6,349,1
"90",403200,"Yonge & Bloor Lakview Bedroom",195095,"Urbano","Rosedale-Moore Park",43.67149,-79.38611,3,95,1,3,533,0.04,13,222,2
"91",406646,"1BR-Close to Yonge & Eglinton 202",1854872,"Raja","Flemingdon Park",43.72029,-79.33473,3,40,2,32,19,0.4,4,333,4
"92",413276,"Yonge & Wellesley Prime Downtown Full Apartment",2056128,"Robert","Bay Street Corridor",43.6642,-79.38465,1,198,2,68,251,0.73,2,274,2
"93",415104,"Furnished Luxury Condos North York",2064477,"David","Willowdale East",43.76248,-79.40904,1,155,3,4,105,0.49,4,88,4
"94",415110,"Downtown Furnished Luxury Condo Toronto",2064477,"David","Waterfront Communities-The Island",43.64275,-79.39161,1,175,3,1,167,0.18,4,178,2
"95",415111,"Luxury Condo North York - Two Bedroom Suite",2064477,"David","Willowdale East",43.76095,-79.40969,1,225,3,5,157,0.66,4,89,4
"96",415135,"Torontos Entertainment District ",2064477,"David","Waterfront Communities-The Island",43.64456,-79.39449,1,175,3,2,949,0.06,4,352,1
"97",415308,"Beautiful Seaton Village Apartment",1299598,"Jill","Annex",43.66859,-79.41411,3,99,3,28,196,0.29,1,364,2
"98",418608,"SEMI-PRIVATE ROOM MIDTOWN TORONTO",2079464,"Madalina And Willy","Mount Pleasant West",43.69844,-79.39434,4,42,1,93,6,1.01,1,364,4
"99",418791,"Charming 1BD Apt Toronto West-End",2082581,"Haley","Dufferin Grove",43.65395,-79.43132,1,65,7,3,2413,0.04,1,0,1
"100",429943,"Super Studio in the Upper Beach",377846,"Nick & Nena","East End-Danforth",43.68499,-79.29131,1,69,3,38,175,0.41,10,321,2
"101",436403,"Heritage Home Downtown Toronto",1429488,"Derek","Moss Park",43.6617,-79.37496,1,195,2,220,44,2.6,3,262,3
"102",447884,"House available during TIFF",200354,"Ayla","Kensington-Chinatown",43.65646,-79.4031,3,200,2,1,2147,0.01,1,0,1
"103",449650,"Colourful Victorian Semi With Original Artwork and a Piano",1402232,"Abigail","South Parkdale",43.63927,-79.43033,1,199,1,254,19,3.78,5,216,3
"104",454927,"Downtown Toronto private bdrm&bath",2260447,"David","Church-Yonge Corridor",43.66114,-79.38157,3,90,2,347,33,3.68,3,111,3
"105",455640,"Charming House in Great Location ",591649,"Melissa","Humewood-Cedarvale",43.68698,-79.42234,1,141,30,9,1567,0.1,2,0,1
"106",456371,"Calming Bedroom 1 - Beaches Toronto",2268652,"Julie","Woodbine Corridor",43.67741,-79.31079,3,30,30,17,68,0.25,3,101,4
"107",457588,"Furnished Luxury @ The Eaton Centre",1805882,"Elisabeth","Church-Yonge Corridor",43.65475,-79.37934,2,274,5,7,596,0.09,4,365,2
"108",462366,"Quaint Mid-Town Toronto Guestroom",2297131,"Liz","Brookhaven-Amesbury",43.7063,-79.48768,3,54,1,33,124,0.36,1,365,2
"109",464313,"Private Downtown Victorian House. Fully Equipped",2307239,"Harold","Waterfront Communities-The Island",43.64428,-79.40268,1,190,3,63,44,0.79,1,159,2
"110",466650,"Spacious Scandinavian Style Home in King West",1039434,"Juli","Waterfront Communities-The Island",43.64353,-79.40154,1,164,30,57,44,0.62,2,62,2
"111",473827,"Designer-inspired Toronto living.",2349264,"George / John","Oakwood Village",43.6879,-79.43938,1,107,60,99,9,1.07,1,0,2
"112",495303,"Your Home In Toronto",1241161,"Danny","Dovercourt-Wallace Emerson-Junction",43.66444,-79.42534,1,115,2,115,96,1.28,2,89,2
"113",499590,"Families with Small Kids Welcome",1615266,"Lewelyn","Parkwoods-Donalda",43.75809,-79.31778,1,200,360,1,2770,0.01,2,165,1
"114",509575,"Mina's Guest House - Room  # 2",2511000,"Arya","Moss Park",43.65751,-79.37178,3,80,3,12,209,0.13,24,155,2
"115",511141,"Victorian Charmer in West Queen West",2518222,"Katie & Philippe","Little Portugal",43.64887,-79.43202,1,138,3,118,38,1.27,3,0,2
"116",511463," gorgeous light- filled loft avail!",211533,"Sasha","Dovercourt-Wallace Emerson-Junction",43.66021,-79.43757,1,150,2,6,1266,0.07,1,0,1
"117",516823,"Cozy + Clean Studio in the Junction",533496,"Paul","Junction Area",43.66585,-79.47556,1,87,3,168,44,1.81,2,317,3
"118",517709,"Bright House with Vegetable Garden",2549053,"Nathalie","Trinity-Bellwoods",43.65264,-79.411,1,225,2,76,548,0.85,1,0,1
"119",519845,"A Calm and Cozy Abode",1615266,"Lewelyn","Parkwoods-Donalda",43.75896,-79.31819,1,52,4,46,23,0.51,2,222,4
"120",525387,"Gorgeous Photogenic Artist's Loft",1559845,"Safiya","Dovercourt-Wallace Emerson-Junction",43.65875,-79.44551,1,115,2,60,188,0.65,1,347,2
"121",526594,"Small Dog friendly Apt Garden Free Park EV charger",2588098,"Reiner","Willowdale East",43.76651,-79.40411,1,68,28,6,1902,0.07,1,180,1
"122",526705,"★ High-Tech Authentic Luxurious Loft -Queen West ★",1698603,"Kyle","Roncesvalles",43.64279,-79.43347,1,139,7,51,48,0.56,2,264,2
"123",529189,"Historical, distinctive, and hip",2597290,"Caroline","Trinity-Bellwoods",43.65248,-79.40885,3,54,3,153,41,1.66,4,344,3
"124",529256,"Room in amazing retro modern space ",2597290,"Caroline","Trinity-Bellwoods",43.65038,-79.41019,3,54,3,111,76,1.19,4,335,2
"125",533659,"Best View in Downtown 5 Star Luxury",1019968,"Roman","Waterfront Communities-The Island",43.63931,-79.38174,1,220,6,145,41,1.57,2,241,3
"126",534962,"Mina's Guest House Room #1 (1 x Queen Bed + Futon)",2511000,"Arya","Moss Park",43.66002,-79.37217,3,80,3,9,45,0.11,24,143,2
"127",535006,"Mina's Guest House Room #3 (1 x Queen Bed + Futon)",2511000,"Arya","Moss Park",43.65931,-79.37258,3,76,3,12,203,0.14,24,178,2
"128",535025,"Toronto Mina's Guest House room #6",2511000,"Arya","Moss Park",43.66015,-79.37206,2,54,3,25,45,0.3,24,153,2
"129",535079,"Mina's Guest House - Room  #7",2511000,"Arya","Moss Park",43.65852,-79.37165,3,65,3,5,45,0.06,24,144,2
"130",535086,"Toronto Mina's Guest House -Room 8",2511000,"Arya","Moss Park",43.65796,-79.37146,3,65,3,12,481,0.15,24,154,2
"131",535110,"Toronto Mina's Guest House-Room # 9",2511000,"Arya","Moss Park",43.65823,-79.37213,3,60,3,13,1085,0.14,24,107,1
"132",535124,"Mina's Guest House-double room #10",2511000,"Arya","Moss Park",43.66004,-79.37175,3,60,3,5,451,0.06,24,123,2
"133",543242,"Little Portugal, Lovely Room!",436011,"Mallory And Allen","Little Portugal",43.65007,-79.42561,3,69,2,210,53,2.35,1,61,3
"134",543810,"Spacious 1+1 Condo Downtown Toronto",2671905,"R.","Waterfront Communities-The Island",43.64147,-79.39269,1,199,3,11,1644,0.14,1,0,1
"135",547777,"A Beautiful Funky Toronto Apartment",2692759,"Ayelet And Sean","Palmerston-Little Italy",43.66101,-79.42695,1,90,2,3,851,0.03,1,0,1
"136",553972,"Hip downtown weekend room with art",2597290,"Caroline","Trinity-Bellwoods",43.65159,-79.40827,3,54,3,101,92,1.11,4,365,2
"137",556724,"Large family home in High Park",2737251,"Shelagh","High Park-Swansea",43.64842,-79.4546,1,245,6,3,1641,0.04,1,87,1
"138",560148,"Cozy room, King Bed, Great Location",1027776,"Willy & Madalina","Mount Pleasant West",43.69813,-79.3915,3,675,1,39,153,0.43,2,289,2
"139",563542,"Bright Large 2 Bedroom Central",227740,"Bojan","Palmerston-Little Italy",43.65707,-79.41011,1,99,3,1,2370,0.01,1,0,1
"140",571239,"City Retreat with Grand Piano & Outdoor Hottub",2811178,"David","Greenwood-Coxwell",43.68181,-79.32462,1,251,3,37,44,0.41,2,361,2
"141",571429,"Chic Upper Beach 3 Bedroom Beauty",377846,"Nick & Nena","East End-Danforth",43.68617,-79.29311,1,109,3,29,75,0.33,10,46,2
"142",573892,"DOWNTOWN TORONTO LUXURY FURNISHED CORPORATE SUITE",2175675,"Frank","Waterfront Communities-The Island",43.64278,-79.37985,1,148,1,79,6,0.87,2,318,2
"143",578292,"Modern Upscale Condo, HUGE Balcony, WALKSCORE 100",2808386,"Jason","Bay Street Corridor",43.65409,-79.38456,1,121,20,9,129,0.1,1,2,2
"144",579918,"Luxury Queen West Private Loft",1160065,"Vee","Niagara",43.63803,-79.41904,1,130,3,13,171,0.14,1,0,2
"145",593324,"Charming Victorian in Leslieville",2929774,"Susan","South Riverdale",43.66096,-79.34763,1,115,7,7,1593,0.08,1,0,1
"146",599591,"Artful Retreat & Queer Friendly",2771272,"Michelle","Dufferin Grove",43.65354,-79.43508,1,90,2,197,27,2.17,3,349,3
"147",602407,"Large bedroom with private bathroom",2980659,"Nanou","Woodbine Corridor",43.67666,-79.31322,3,69,4,40,189,0.44,1,165,4
"148",602943,"Mina's Guest House- Room # 4",2511000,"Arya","Moss Park",43.65759,-79.37072,3,65,3,10,1067,0.13,24,150,1
"149",611735,"Comfort and  Quiet",1241161,"Danny","Dovercourt-Wallace Emerson-Junction",43.66377,-79.42463,3,80,2,10,559,0.11,2,0,1
"150",615715,"Futon in the Heart of Toronto",2001901,"Ru","Waterfront Communities-The Island",43.64397,-79.40102,4,42,1,20,267,0.22,2,365,2
"151",620965,"Private Room in Artist Home by Transit",897683,"Hajnal","Birchcliffe-Cliffside",43.70519,-79.24774,3,34,5,23,11,0.25,3,234,4
"152",625877,"Calming Bedroom 2 - Beaches Toronto",2268652,"Julie","Woodbine Corridor",43.67567,-79.3122,3,30,30,17,45,0.24,3,224,4
"153",625942,"Calming Bedroom 3 - Beaches Toronto",2268652,"Julie","Woodbine Corridor",43.67638,-79.3102,3,33,28,9,860,0.12,3,104,1
"154",629995,"Shared Loft in Queen West- On Couch",1698603,"Kyle","Roncesvalles",43.64372,-79.43283,4,70,1,3,259,0.03,2,361,2
"155",638500,"3 bdrm on Queen West TO",3178928,"Lisa Marie","South Parkdale",43.63912,-79.43946,1,95,4,10,1237,0.18,1,0,1
"156",638586,"Toronto Downtown near TIFF &  Convention Centre",3186285,"Solange","Waterfront Communities-The Island",43.64271,-79.39244,1,200,10,61,314,0.91,1,364,2
"157",643389,"Bachelor Apt, 2nd flr, South Window",3217095,"Mark","South Parkdale",43.63514,-79.42736,1,65,7,3,1001,0.07,1,0,1
"158",643916,"Basement apartment (1 bdrm) in lower Junction",574360,"Yvonne","Junction Area",43.66203,-79.47818,1,121,3,5,1389,0.08,1,364,1
"159",654048,"4 Bedroom House Great Location",3289972,"Minoo","Morningside",43.78505,-79.20887,1,274,4,13,61,0.15,1,342,4
"160",655522,"Sunny and Charming Apartment",3299954,"Basil","Kensington-Chinatown",43.65805,-79.39601,1,85,4,29,554,0.32,1,0,1
"161",666158,"DOWNTOWN CN Tower View! 2 bedrooms/2baths!",3367744,"Ron","Bay Street Corridor",43.65492,-79.38185,1,799,3,41,600,0.52,1,363,2
"162",666670,"Super Studio in the Upper Beach II",377846,"Nick & Nena","East End-Danforth",43.68524,-79.2911,1,57,3,44,118,0.54,10,319,2
"163",674193,"Comfortable, cozy home in convenient mid-town.",3422913,"Rosalie","Mount Pleasant West",43.7024,-79.39664,3,65,3,95,28,1.09,1,186,4
"164",677355,"Private Guest Room in Downtown Toronto",2741400,"Rk","Palmerston-Little Italy",43.65806,-79.41356,3,34,1,148,119,1.91,4,176,3
"165",678398,"Spacious Rosedale One Bedroom w/ Bathroom",3451822,"Danielle","Rosedale-Moore Park",43.68356,-79.38267,3,69,1,13,118,0.14,2,364,4
"166",682099,"Art lovers dream in Queen West",2034186,"Jennifer","Kensington-Chinatown",43.65047,-79.39239,3,93,1,241,64,2.66,1,125,3
"167",683292," Bedroom with adjacen bath (single ",3482429,"Stanley","Humbermede",43.74975,-79.54777,3,38,1,135,106,1.51,3,365,4
"168",683293,"Large bedroom with private bathroom",3482429,"Stanley","Humbermede",43.74979,-79.54896,3,45,1,59,47,0.67,3,365,4
"169",701230,"Authentic Bright Artist's Loft",3587917,"Darby","High Park North",43.65848,-79.45408,1,99,5,15,564,0.18,1,0,1
"170",702286,"Beautiful Garden Apt With Porches",3604846,"Wies","Roncesvalles",43.65369,-79.45178,1,209,2,17,187,0.19,5,365,2
"171",703124,"Your Home Away From Home -3 BEDROOM",3604846,"Wies","High Park-Swansea",43.65541,-79.45327,1,345,4,20,44,0.27,5,303,2
"172",703133,"2 BDRM 2000SF Executive Suite",3604846,"Wies","High Park-Swansea",43.65541,-79.45289,1,285,4,10,6,8.82,5,0,3
"173",707799,"LUXURY DOWNTOWN CELEBRITY SUITE!",1289097,"Milé","Waterfront Communities-The Island",43.64827,-79.36607,1,144,2,3,2638,0.03,1,0,1
"174",719384,"Convenient 1B + Guest Room Condo",1919294,"Toronto Suite Rentals","Bayview Village",43.7676,-79.38263,1,159,5,6,105,0.11,83,133,4
"175",720213,"★ Private Victorian Home ❤️ of Downtown ★",3238718,"Jeff","Waterfront Communities-The Island",43.64333,-79.40176,1,148,2,44,11,0.5,1,128,2
"176",727514,"The Whole Enchilada: flexible & hip",2597290,"Caroline","Trinity-Bellwoods",43.65098,-79.41023,3,54,7,112,97,1.27,4,365,2
"177",728296,"Stunning 17FT Ceiling Modern Condo",1919294,"Toronto Suite Rentals","Niagara",43.63863,-79.41408,1,168,5,13,499,0.17,83,73,2
"178",728817,"Charming Victorian Home",3783106,"Jeremy And Monica","Roncesvalles",43.64111,-79.44661,1,270,6,9,573,0.11,1,97,1
"179",732562,"Your Leaside Home Near Sunnybrook",3814089,"Liz","Leaside-Bennington",43.71558,-79.36382,1,98,2,157,41,2.16,1,319,3
"180",738252,"Newly renov 2 bed lower level/ basement suite",3604846,"Wies","High Park-Swansea",43.65394,-79.45248,1,205,3,9,709,0.11,5,318,2
"181",739568,"Luxury corner suite, very CLEAN+ Pvt large terrace",3709828,"Kenny","Bay Street Corridor",43.65258,-79.38203,1,170,12,10,28,0.54,5,27,2
"182",742076,"Ideal Cosy Quiet City Getaway",3377580,"Catherine","Ionview",43.73273,-79.27358,1,133,7,21,139,0.26,3,363,4
"183",756619,"Winchester Suite /  Large Modern Bedroom Downtown",3982898,"Andrew","Cabbagetown-South St.James Town",43.66487,-79.37103,3,76,2,50,48,0.62,3,126,2
